lig coords_avg sigma eq_time sim_len
1 99.25751072961373 0.7812225848372742 1710000 25
2 190.82758620689654 3.0358963530836602 3985000 25
3 241.42566510172145 4.41219084406003 9035000 25
4 263.7913429522753 4.135855745795643 2485000 25
5 274.2002781641168 4.157612065125467 7035000 25
6 281.6684266103485 4.261768429113977 1335000 25
7 286.5438996579247 3.9707204444996456 3085000 25
8 291.5663390663391 4.213245337453836 945000 5
9 292.93969298245617 4.358481280376076 455000 5
10 296.91769041769044 4.296153097439177 945000 5
11 301.4266211604096 3.9033040534902783 620000 5
