ebind coord_avg sigma time press sim_len
2 18.94934143870314 4.0042405351859065 80000 7.620978963026973 5000000
4 100.140081799591 6.225530095318264 125000 6.219209605734265 5000000
6 203.34179894179894 4.878024804945991 290000 5.361821587702297 5000000
8 280.4781659388646 4.528786290654844 435000 5.361821587702297 5000000
10 332.676322418136 3.3845235743450734 1045000 3.2312533375024977 5000000
12 367.2842105263158 1.6905243356499866 2640000 3.939392741508491 5000000
14 393.56574151948416 1.927625829528501 7180000 3.939392741508491 25000000
16 412.0619765494137 2.0327465417028394 20200000 4.351209223276724 50000000
18 431.5220779220779 1.2890386615597185 61600000 1.9486841796380723 100000000
20 0 0 0 2.0417899619580417 500000000






# Anamolous point: ebind = 2 kcal/mol. Reversing the trend of the rest of the ebind values, the PE INCREASES at the start. Some of this is due to thermostat fluctuations, but the trend after the first big jump is also positive. 80000 was chosen as the eq 2 point since it appeared to follow this initial positive trend. Unsure why the thermostat jump is positive rather than negative.
# ebind = 14 kcal/mol was done using 5 times the number of time steps as everything else (for 2-12 it was 5 000 000 time steps, every 5 000 time steps, 14 it was 25 000 000 time steps, every 5 000 timesteps, 16 is 50 000 000 time steps, every 50 000 time steps, 18 is 100 000 000 time steps, every 100 000 time steps, and 20 is 500 000 000 time steps, every 500 000 time steps.
