num_lig coord sigma time sim_len
100 99.14734299516908 0.8258403470564553 875000 5000000
200 190.37725823591924 3.251034749555553 1500000 10000000
300 239.34517045454547 4.052487001276221 1495000 5000000
400 263.83572216097025 4.1620755193919825 2350000 10000000
500 272.89564220183485 4.26793553778952 655000 5000000
600 281.64674493062967 4.271510743279897 1600000 10000000
700 286.324480369515 3.5592135612742752 685000 5000000
800 291.5049833887043 4.164272012138053 500000 5000000
900 0 0 0 0
1000 0 0 0 0 
1100 301.16021505376347 4.1126662440659985 365000 5000000
