s coord_avg coord2_avg sigma sigma2 time step
0.1 254.5710928319624 0.28554641598119856 5.028910405161022 0.535352792878698 760000 150
0.2 280.78537735849056 0.4492924528301887 4.615171669468029 0.64996555668592 775000 153
0.3 314.8083900226757 1.0430839002267573 3.8884295190562024 1.0591811519232857 605000 119
0.4 339.3578947368421 3.2221052631578946 3.5178778372541184 1.7607522429302371 265000 51
0.5 354.7508813160987 8.898942420681552 3.1035438641149886 2.7523912701030615 760000 150
0.6 362.86503067484665 15.024539877300613 3.0814888258229236 3.4595703072365214 3385000 675
0.7 367.18657937806876 19.734860883797054 2.81876904621537 3.8057436022229423 1960000 390
0.8 371.1621621621622 25.04054054054054 2.3560280009184624 4.053969212227784 3165000 631
0.9 373.6678787878788 28.008484848484848 2.422337089585397 3.945155042368548 890000 176
1.0 376.36675126903555 32.380710659898476 2.259810992548742 4.3741453043562615 1075000 213
