timestep Temp E_pair E_mol TotEng
10000 141.22807 -330.65081 611.73305 1544.0044
15000 307.07089 -220.28866 1298.1865 3823.8578
20000 298.14677 -226.84974 1258.3231 3697.63
25000 295.74864 -210.93516 1250.5133 3684.2898
30000 305.56181 -208.06159 1247.0356 3771.4391
35000 295.38402 -205.03951 1265.929 3702.3404
40000 300.47595 -205.00132 1248.1916 3730.1755
45000 308.20838 -210.43258 1266.3656 3812.0649
50000 296.08595 -220.71447 1283.9611 3710.9745
55000 296.93995 -228.58352 1295.9034 3722.6847
60000 305.21791 -199.3106 1316.843 3846.9222
65000 301.76665 -214.34836 1283.4052 3767.584
70000 297.90188 -201.41402 1309.3099 3771.8626
75000 304.32612 -196.14248 1324.1254 3849.398
80000 296.32041 -219.84005 1324.8913 3754.8759
85000 304.90235 -195.71711 1309.1669 3840.0178
90000 307.46431 -216.35256 1236.7163 3769.8418
95000 300.83573 -203.6053 1252.5149 3739.1121
100000 301.48151 -215.62711 1259.6778 3740.028
105000 305.6004 -213.96605 1287.8502 3806.6944
110000 290.81119 -202.74744 1267.1077 3664.919
115000 300.15138 -213.22553 1278.9117 3749.7689
120000 297.14804 -212.93338 1279.8832 3724.1754
125000 303.65311 -211.55072 1313.9649 3817.8109
130000 305.46574 -206.58038 1258.9028 3783.9284
135000 302.97706 -215.7874 1339.2217 3832.7855
140000 300.94436 -216.52906 1287.2408 3761.8856
145000 297.74814 -212.39837 1223.9278 3674.1214
150000 299.35991 -229.63774 1294.129 3741.4963
155000 301.27258 -217.16789 1252.6577 3729.5988
160000 294.67832 -219.08803 1287.4952 3703.5474
165000 295.37963 -216.06429 1264.2635 3689.6109
170000 300.43616 -209.96415 1269.6329 3746.2982
175000 293.92692 -191.3434 1294.2838 3731.3613
180000 301.675 -205.48796 1266.94 3759.1597
185000 301.07884 -221.54459 1295.1348 3765.9668
190000 306.99974 -223.82139 1285.4214 3806.9237
195000 305.12627 -216.81147 1260.0078 3771.7667
200000 301.8147 -220.71167 1283.2139 3761.4591
205000 302.88253 -198.86381 1292.7684 3802.4104
210000 296.93968 -211.10676 1313.3579 3757.6135
215000 305.61912 -199.73385 1280.5579 3813.8017
220000 295.00655 -222.74637 1282.6899 3698.0191
225000 294.78215 -213.35731 1263.3377 3686.0492
230000 303.4903 -183.92124 1272.8103 3802.8299
235000 303.7331 -223.31724 1296.5251 3789.3199
240000 296.24581 -215.39785 1303.1777 3736.9373
245000 290.99659 -206.98656 1298.9935 3694.2237
250000 293.51024 -218.5562 1279.1242 3685.2628
255000 302.65003 -218.96784 1292.0692 3779.5281
260000 300.50702 -209.64399 1269.762 3747.3811
265000 303.56587 -199.46848 1290.7569 3805.905
270000 304.07112 -226.50047 1293.3709 3786.0052
275000 301.88804 -203.9285 1284.2733 3779.9575
280000 297.48257 -214.06129 1338.0263 3784.1821
285000 297.39635 -207.88485 1296.0927 3747.654
290000 293.98654 -191.28595 1293.3523 3731.0205
295000 298.16789 -218.47386 1262.3217 3710.1934
300000 292.17887 -196.05308 1261.5763 3678.3123
305000 308.59723 -208.136 1266.9671 3818.4403
310000 305.75953 -202.60263 1281.3833 3813.014
315000 296.39464 -207.38716 1303.7119 3746.8131
320000 297.40046 -194.3201 1277.5553 3742.7181
325000 289.02169 -210.5418 1293.7123 3667.7268
330000 293.96218 -205.47603 1255.098 3678.3582
335000 302.49826 -202.45541 1327.4589 3830.073
340000 295.17486 -226.68718 1301.8028 3714.6962
345000 298.42851 -214.93197 1285.2815 3739.0257
350000 293.59578 -197.39409 1309.834 3737.8997
355000 300.9989 -228.0112 1279.045 3742.6954
360000 301.00671 -201.63443 1318.2714 3808.3685
365000 294.27456 -203.80708 1301.4788 3729.2014
370000 306.91102 -209.9697 1261.8252 3796.3859
375000 302.0399 -216.59472 1288.7943 3773.1702
380000 306.31591 -208.70432 1235.5405 3766.0448
385000 299.04843 -209.97925 1231.4038 3695.6442
390000 301.17372 -198.17327 1296.237 3791.2887
395000 308.25717 -209.38483 1265.1306 3812.314
400000 307.00168 -204.99282 1236.7036 3777.0519
405000 310.33921 -197.48286 1279.3623 3857.0662
410000 301.05416 -222.58873 1297.181 3766.748
415000 298.53211 -210.46411 1283.8737 3743.0121
420000 294.50039 -191.12086 1209.885 3652.3133
425000 299.92651 -190.76878 1259.7437 3751.0467
430000 295.36754 -195.89207 1293.613 3739.0246
435000 296.33717 -192.43851 1313.2797 3770.8156
440000 292.57054 -211.09757 1280.6764 3685.8705
445000 299.42614 -194.78357 1280.7272 3763.541
450000 307.06302 -192.29058 1284.5726 3838.1717
455000 296.12857 -185.15448 1287.7209 3750.6754
460000 302.84606 -204.4979 1280.4444 3784.1262
465000 291.42044 -204.58587 1245.7841 3647.2052
470000 300.73415 -200.37456 1261.6666 3750.5862
475000 309.38454 -202.76136 1266.6334 3830.5217
480000 297.87424 -207.43653 1278.304 3734.587
485000 300.00698 -194.43089 1273.829 3762.1896
490000 297.77818 -210.2456 1269.5252 3722.1402
495000 301.89846 -212.13653 1254.0332 3741.6026
500000 297.14184 -215.49241 1289.4958 3731.1735
505000 301.38524 -202.47587 1285.1644 3777.805
510000 297.06291 -209.53937 1283.209 3730.134
515000 297.25304 -209.05121 1294.9899 3744.1033
520000 298.47278 -227.71843 1280.8799 3722.2335
525000 313.7289 -214.27943 1263.952 3855.1713
530000 299.75304 -218.46465 1321.8185 3783.8745
535000 302.74318 -201.90245 1275.3345 3780.6918
540000 306.65457 -198.50085 1273.4163 3817.1525
545000 303.20536 -212.27791 1235.2696 3734.3845
550000 306.96543 -198.96017 1300.7802 3846.837
555000 292.89547 -206.03393 1236.4992 3649.6626
560000 305.36406 -200.39479 1312.2826 3842.5846
565000 297.65378 -221.99869 1261.5393 3701.2887
570000 307.12685 -209.76406 1250.337 3787.0333
575000 299.08616 -192.05719 1269.5471 3752.047
580000 309.64022 -202.63911 1294.1275 3860.4243
585000 303.97939 -210.67812 1235.5248 3743.1611
590000 292.0396 -212.66242 1302.278 3701.1593
595000 307.27198 -211.37916 1306.6343 3843.0133
600000 297.93507 -220.43832 1307.8914 3751.7166
605000 295.16055 -216.31212 1284.7084 3707.8489
610000 299.86407 -218.24116 1286.298 3749.5704
615000 292.93603 -223.41879 1304.5933 3700.7345
620000 294.23296 -212.6582 1299.92 3718.4195
625000 309.66876 -219.62026 1274.9692 3824.5402
630000 300.43537 -190.11057 1258.6548 3755.1666
635000 303.05856 -207.28415 1265.7263 3768.5222
640000 291.23775 -216.75417 1296.4231 3684.0422
645000 313.26187 -204.64473 1317.2548 3913.9325
650000 301.92679 -202.04884 1292.6955 3790.6059
655000 291.64419 -202.80086 1349.7842 3754.9912
660000 305.57545 -214.88165 1271.4582 3789.1636
665000 301.54613 -208.3656 1297.9111 3786.1007
670000 306.83521 -208.86952 1278.1598 3813.1427
675000 306.40677 -203.98647 1246.058 3782.0926
680000 302.36119 -213.49678 1251.3343 3741.6814
685000 293.77681 -217.19768 1300.3772 3710.2581
690000 309.82579 -217.48013 1228.6358 3781.7512
695000 300.44237 -204.47397 1293.3388 3775.5497
700000 299.65613 -214.84643 1265.4149 3730.2224
705000 304.90873 -206.88361 1298.4169 3818.1583
710000 294.52342 -208.07035 1308.0478 3733.7326
715000 312.35353 -190.95401 1245.1777 3847.4233
720000 298.97412 -216.17788 1290.5858 3747.9631
725000 297.13977 -220.90252 1313.2368 3749.4858
730000 306.09966 -221.47975 1306.9144 3822.7094
735000 306.82057 -227.52652 1233.7963 3749.9913
740000 293.57254 -194.6383 1258.7865 3689.4001
745000 299.01807 -219.62332 1271.1955 3725.5205
750000 295.22705 -203.28092 1268.1835 3704.9499
755000 307.29668 -212.12278 1286.9073 3822.7636
760000 300.21246 -213.89189 1264.0597 3734.7968
765000 302.64794 -197.70454 1287.8156 3796.5192
770000 292.61252 -209.9505 1339.4705 3746.1871
775000 303.08136 -214.65224 1270.7578 3766.3894
780000 301.31912 -220.43999 1306.5022 3780.5874
785000 299.54973 -222.44917 1333.5225 3789.7759
790000 301.26336 -219.51598 1239.0357 3713.5463
795000 298.00038 -211.36205 1254.5087 3707.9942
800000 302.87717 -216.87189 1264.2265 3755.8125
805000 297.01521 -205.58094 1318.7959 3769.2527
810000 301.22712 -208.90168 1295.4071 3780.2079
815000 300.40472 -223.37247 1272.1428 3735.1186
820000 306.22233 -210.06039 1298.4917 3826.8032
825000 294.94858 -202.51168 1263.009 3698.0544
830000 302.14268 -204.45331 1283.8583 3781.2948
835000 291.86214 -203.04105 1297.6451 3704.5609
840000 300.04303 -206.9014 1273.7603 3749.9728
845000 299.23232 -224.50403 1307.7603 3759.1204
850000 303.05317 -204.00007 1303.3094 3809.3412
855000 300.12306 -211.69288 1328.1244 3800.261
860000 296.717 -193.57614 1237.69 3697.4849
865000 292.60617 -196.91861 1269.8899 3689.5815
870000 293.98895 -199.39788 1297.3016 3726.8794
875000 296.33932 -205.95482 1265.106 3709.1449
880000 298.6147 -207.96388 1309.6863 3772.0635
885000 303.34776 -215.51977 1282.3686 3779.515
890000 300.06662 -209.43966 1281.3931 3755.2782
895000 304.73747 -205.69533 1314.9584 3834.3566
900000 291.57763 -205.84467 1262.13 3663.6979
905000 305.37814 -203.14458 1252.9509 3780.629
910000 299.84604 -211.20226 1301.5017 3771.6517
915000 305.56513 -205.72895 1272.2229 3798.9888
920000 294.9198 -187.69479 1312.0527 3761.6576
925000 305.66316 -200.8279 1301.8584 3834.4019
930000 306.64283 -230.11525 1289.6132 3801.63
935000 307.10519 -208.89269 1279.237 3816.6111
940000 298.40669 -210.0861 1295.7356 3754.1305
945000 300.81007 -214.74477 1277.0578 3752.286
950000 304.65431 -191.67431 1280.6078 3813.2833
955000 295.09335 -206.8784 1238.7265 3670.6998
960000 296.23171 -217.10193 1260.6192 3692.5487
965000 300.46457 -210.56063 1304.7561 3781.0789
970000 304.00212 -193.77402 1327.1808 3851.9244
975000 293.92346 -215.643 1294.5079 3707.2549
980000 299.62874 -215.68671 1258.2498 3721.9722
985000 290.73225 -212.99074 1253.1394 3640.0015
990000 293.84079 -208.60746 1324.7655 3743.8088
995000 304.40863 -217.65463 1307.9527 3812.451
1000000 304.24295 -221.43316 1288.5987 3787.8368
1005000 300.8441 -215.70793 1261.3156 3735.885
1010000 291.03851 -214.23638 1297.6991 3686.0543
1015000 294.83167 -217.16583 1260.0236 3679.3694
1020000 303.89066 -216.39333 1347.9978 3849.1255
1025000 304.59624 -217.4985 1297.6917 3804.0238
1030000 302.03172 -213.36042 1228.857 3716.3941
1035000 291.0222 -208.0948 1282.0432 3676.3941
1040000 298.11392 -198.46988 1288.2123 3755.6053
1045000 296.19194 -214.76643 1294.292 3728.2014
1050000 297.82532 -211.2774 1270.8798 3722.8846
1055000 301.0986 -202.33182 1311.8755 3802.0969
1060000 301.4517 -224.29178 1273.1532 3744.5722
1065000 295.77141 -218.64109 1291.7507 3718.0248
1070000 289.60626 -212.68599 1295.5119 3672.6096
1075000 302.45202 -212.13651 1269.5535 3762.0731
1080000 302.76248 -208.87827 1293.0013 3791.5553
1085000 296.12357 -214.37902 1256.8937 3690.579
1090000 302.59325 -207.27584 1273.1774 3771.8206
1095000 300.71407 -202.7851 1267.6125 3753.9419
1100000 292.50051 -204.48529 1317.1649 3728.345
1105000 293.95571 -216.43582 1308.3391 3720.5817
1110000 301.14187 -206.07593 1296.7162 3783.5804
1115000 306.92255 -207.78813 1267.3683 3804.2136
1120000 297.60489 -226.65534 1275.3931 3710.0487
1125000 303.81394 -203.31482 1256.1048 3769.6249
1130000 300.79709 -207.66099 1309.6559 3791.8519
1135000 300.63938 -207.90172 1296.7223 3777.2673
1140000 301.03638 -221.06536 1311.6489 3782.5804
1145000 301.64448 -192.47813 1302.7424 3807.699
1150000 308.91903 -220.1047 1266.8052 3809.1873
1155000 301.85042 -229.30978 1302.6943 3772.6608
1160000 307.48971 -204.27657 1250.3543 3795.783
1165000 302.04939 -206.93358 1305.2925 3799.4145
1170000 294.31526 -207.97837 1256.4067 3680.322
1175000 302.40105 -219.87876 1276.21 3760.5315
1180000 297.2493 -216.5478 1316.8193 3758.4026
1185000 297.60804 -213.51528 1246.9392 3694.763
1190000 296.31012 -216.32574 1247.8806 3681.2874
1195000 300.5768 -213.52255 1302.1596 3776.5241
1200000 297.66818 -179.18811 1261.642 3744.3308
1205000 295.90855 -198.71297 1236.9589 3684.3875
1210000 296.56831 -203.93067 1325.9903 3774.101
1215000 298.53292 -214.37899 1290.9633 3746.1941
1220000 305.69366 -212.78657 1284.1756 3805.0332
1225000 306.1471 -208.84858 1289.4533 3818.3038
1230000 300.29391 -203.96708 1276.8018 3758.1921
1235000 298.45739 -225.12391 1319.7795 3763.59
1240000 301.77425 -211.11335 1280.2155 3767.6973
1245000 301.60968 -211.28613 1274.6937 3760.531
1250000 301.54418 -203.69751 1313.4828 3806.323
