timestep Temp E_pair E_mol TotEng
10000 138.49045 -387.07799 410.12293 848.67237
15000 299.30268 -475.96389 882.32404 2190.689
20000 305.50849 -562.94179 872.71007 2131.0938
25000 304.33101 -635.83892 853.78676 2032.2537
30000 301.29253 -686.48451 809.45811 1919.1652
35000 301.15355 -783.13416 870.31481 1882.5437
40000 299.60774 -881.61079 852.42115 1756.9579
45000 300.96525 -952.86057 857.61785 1698.9978
50000 299.21524 -1002.046 795.12656 1576.8882
55000 296.02301 -1080.7342 855.60047 1539.643
60000 291.38103 -1135.8071 839.7016 1440.9975
65000 285.56571 -1201.2077 866.42769 1367.6543
70000 302.895 -1307.3558 886.78033 1385.1695
75000 299.90869 -1352.6419 848.62515 1283.9249
80000 299.75381 -1423.4088 835.69633 1199.3059
85000 298.76382 -1423.1338 832.83393 1190.8165
90000 296.46199 -1443.0711 852.40557 1176.7282
95000 301.07134 -1473.0645 874.2191 1196.0275
100000 292.44671 -1515.2125 809.63351 1037.8772
105000 293.45196 -1515.8482 842.24675 1075.8477
110000 305.1659 -1581.0659 842.25439 1080.4717
115000 296.86392 -1645.8907 817.26349 941.16266
120000 298.5217 -1652.6275 855.25827 982.3038
125000 291.62621 -1649.1955 834.53079 923.89993
130000 297.64053 -1630.5961 866.26694 1010.0906
135000 296.611 -1667.1929 839.20383 940.29305
140000 293.92088 -1691.2907 814.87392 875.82789
145000 300.95794 -1728.1527 879.20398 945.24821
150000 307.22724 -1722.7347 838.73787 947.57528
155000 300.08289 -1747.084 810.96205 852.85824
160000 303.29526 -1747.8324 844.59497 904.89367
165000 305.14401 -1763.0463 839.05585 895.16221
170000 302.75482 -1784.8338 828.13707 848.21253
175000 297.48927 -1814.0038 851.67701 811.19119
180000 302.60492 -1833.2465 852.85625 823.62535
185000 301.48533 -1851.0141 848.89813 795.22508
190000 300.23635 -1832.6131 843.13912 800.42103
195000 298.78315 -1838.2028 821.80769 764.83653
200000 294.20004 -1875.0574 810.33581 689.18734
205000 301.56231 -1909.2923 884.62436 773.13203
210000 301.28589 -1912.3996 855.64933 739.4017
215000 292.81915 -1942.5091 844.14547 647.31291
220000 298.38463 -1929.8717 800.92867 649.91284
225000 302.45502 -1967.2977 802.7985 638.62273
230000 303.26261 -1984.1005 839.91527 663.75128
235000 298.60303 -1998.4285 841.00021 622.72953
240000 291.81587 -1978.7489 837.68118 598.62761
245000 302.10471 -2017.7524 847.52956 630.81069
250000 294.18566 -2020.1746 817.51129 551.15987
255000 305.78078 -2029.5988 836.81945 630.16948
260000 304.28754 -2011.3487 850.77008 653.46812
265000 311.19564 -2051.1247 810.6632 614.76863
270000 304.50707 -2038.0916 886.26265 663.52646
275000 291.16758 -2047.8203 810.26601 498.27619
280000 285.19031 -2056.5235 850.2926 493.96537
285000 302.31164 -2060.2427 805.6798 547.70418
290000 296.48352 -2092.4855 813.5897 488.6263
295000 298.31914 -2097.5656 802.23246 483.13217
300000 305.34375 -2091.4097 841.58685 570.52061
305000 298.75833 -2117.2343 847.34926 511.19864
310000 294.0337 -2126.6511 795.02152 421.28766
315000 300.24252 -2117.958 821.45999 493.43387
320000 296.84175 -2117.8007 800.44834 452.30533
325000 309.81489 -2113.1672 832.94364 566.77514
330000 299.4481 -2134.5126 834.8166 485.49981
335000 301.19715 -2161.4328 849.5963 483.7865
340000 298.45365 -2141.5884 801.10491 438.78381
345000 296.87958 -2150.9963 791.66579 410.55276
