timestep c_coords
10000 56
15000 88
20000 121
25000 160
30000 202
35000 248
40000 275
45000 301
50000 323
55000 344
60000 358
65000 374
70000 378
75000 382
80000 386
85000 388
90000 389
95000 393
100000 395
105000 399
110000 400
115000 401
120000 402
125000 404
130000 404
135000 404
140000 405
145000 407
150000 407
155000 408
160000 408
165000 408
170000 409
175000 409
180000 410
185000 410
190000 410
195000 410
200000 410
205000 410
210000 413
215000 413
220000 414
225000 414
230000 414
235000 414
240000 414
245000 414
250000 414
255000 414
260000 415
265000 415
270000 416
275000 416
280000 416
285000 417
290000 417
295000 417
300000 416
305000 418
310000 418
315000 418
320000 418
325000 417
330000 417
335000 418
340000 418
345000 417
350000 417
355000 417
360000 417
365000 417
370000 417
375000 418
380000 418
385000 418
390000 418
395000 418
400000 418
405000 418
410000 419
415000 419
420000 419
425000 419
430000 419
435000 419
440000 419
445000 419
450000 419
455000 419
460000 419
465000 419
470000 419
475000 419
480000 419
485000 420
490000 420
495000 420
500000 420
505000 420
510000 420
515000 420
520000 421
525000 421
530000 421
535000 421
540000 420
545000 420
550000 420
555000 420
560000 420
565000 420
570000 419
575000 418
580000 417
585000 417
590000 418
595000 418
600000 418
605000 418
610000 418
615000 417
620000 417
625000 418
630000 418
635000 418
640000 418
645000 419
650000 418
655000 418
660000 418
665000 418
670000 418
675000 419
680000 419
685000 420
690000 420
695000 420
700000 421
705000 421
710000 421
715000 421
720000 421
725000 421
730000 422
735000 422
740000 422
745000 422
750000 421
755000 421
760000 421
765000 420
770000 420
775000 421
780000 421
785000 421
790000 422
795000 422
800000 422
805000 422
810000 420
815000 420
820000 420
825000 420
830000 420
835000 420
840000 420
845000 420
850000 420
855000 419
860000 420
865000 420
870000 421
875000 421
880000 421
885000 421
890000 422
895000 421
900000 421
905000 422
910000 422
915000 422
920000 422
925000 422
930000 421
935000 422
940000 422
945000 422
950000 422
955000 422
960000 422
965000 421
970000 421
975000 422
980000 422
985000 423
990000 423
995000 423
1000000 422
1005000 423
1010000 423
1015000 423
1020000 423
1025000 423
1030000 423
1035000 423
1040000 422
1045000 421
1050000 421
1055000 422
1060000 422
1065000 421
1070000 421
1075000 421
1080000 421
1085000 421
1090000 421
1095000 422
1100000 422
1105000 422
1110000 421
1115000 421
1120000 421
1125000 421
1130000 421
1135000 421
1140000 422
1145000 422
1150000 422
1155000 422
1160000 422
1165000 423
1170000 423
1175000 423
1180000 423
1185000 423
1190000 423
1195000 422
1200000 423
1205000 424
1210000 424
1215000 424
1220000 424
1225000 423
1230000 422
1235000 423
1240000 423
1245000 422
1250000 422
1255000 423
1260000 422
1265000 422
1270000 422
1275000 422
1280000 422
1285000 423
1290000 423
1295000 423
1300000 424
1305000 424
1310000 423
1315000 422
1320000 422
1325000 422
1330000 423
1335000 423
1340000 423
1345000 423
1350000 423
1355000 423
1360000 422
1365000 422
1370000 422
1375000 422
1380000 422
1385000 422
1390000 422
1395000 423
1400000 423
1405000 423
1410000 423
1415000 423
1420000 421
1425000 423
1430000 422
1435000 423
1440000 423
1445000 424
1450000 424
1455000 424
1460000 424
1465000 423
1470000 423
1475000 423
1480000 423
1485000 423
1490000 422
1495000 422
1500000 422
1505000 422
1510000 422
1515000 422
1520000 422
1525000 422
1530000 422
1535000 421
1540000 421
1545000 421
1550000 421
1555000 421
1560000 421
1565000 420
1570000 421
1575000 420
1580000 420
1585000 420
1590000 419
1595000 419
1600000 419
1605000 419
1610000 419
1615000 420
1620000 420
1625000 420
1630000 420
1635000 421
1640000 421
1645000 421
1650000 421
1655000 421
1660000 421
1665000 422
1670000 422
1675000 422
1680000 422
1685000 422
1690000 422
1695000 421
1700000 421
1705000 422
1710000 422
1715000 422
1720000 422
1725000 422
1730000 422
1735000 422
1740000 422
1745000 421
1750000 422
1755000 422
1760000 422
1765000 422
1770000 422
1775000 422
1780000 422
1785000 422
1790000 422
1795000 422
1800000 422
1805000 422
1810000 422
1815000 422
1820000 422
1825000 422
1830000 422
1835000 422
1840000 422
1845000 422
1850000 421
1855000 420
1860000 420
1865000 420
1870000 420
1875000 420
1880000 420
1885000 420
1890000 419
1895000 419
1900000 419
1905000 419
1910000 419
1915000 419
1920000 419
1925000 419
1930000 419
1935000 419
1940000 419
1945000 419
1950000 420
1955000 419
1960000 419
1965000 419
1970000 420
1975000 420
1980000 420
1985000 420
1990000 420
1995000 420
2000000 420
2005000 421
2010000 421
2015000 420
2020000 420
2025000 420
2030000 420
2035000 420
2040000 420
2045000 419
2050000 419
2055000 419
2060000 419
2065000 419
2070000 419
2075000 419
2080000 419
2085000 421
2090000 421
2095000 421
2100000 421
2105000 421
2110000 420
2115000 420
2120000 420
2125000 420
2130000 419
2135000 420
2140000 420
2145000 419
2150000 420
2155000 420
2160000 420
2165000 421
2170000 421
2175000 421
2180000 421
2185000 421
2190000 421
2195000 420
2200000 421
2205000 420
2210000 421
2215000 420
2220000 421
2225000 421
2230000 420
2235000 419
2240000 419
2245000 420
2250000 420
2255000 420
2260000 420
2265000 420
2270000 420
2275000 420
2280000 420
2285000 420
2290000 419
2295000 419
2300000 420
2305000 421
2310000 421
2315000 421
2320000 421
2325000 421
2330000 421
2335000 421
2340000 421
2345000 422
2350000 422
2355000 422
2360000 422
2365000 422
2370000 422
2375000 422
2380000 422
2385000 422
2390000 422
2395000 422
2400000 422
2405000 422
2410000 422
2415000 422
2420000 422
2425000 422
2430000 422
2435000 422
2440000 422
2445000 422
2450000 421
2455000 422
2460000 422
2465000 422
2470000 422
2475000 422
2480000 422
2485000 422
2490000 422
2495000 422
2500000 422
2505000 422
2510000 422
2515000 422
2520000 422
2525000 422
2530000 422
2535000 423
2540000 423
2545000 423
2550000 422
2555000 422
2560000 422
2565000 422
2570000 422
2575000 422
2580000 422
2585000 422
2590000 422
2595000 422
2600000 422
2605000 422
2610000 422
2615000 422
2620000 422
2625000 422
2630000 422
2635000 422
2640000 422
2645000 422
2650000 422
2655000 422
2660000 422
2665000 422
2670000 421
2675000 421
2680000 421
2685000 421
2690000 421
2695000 421
2700000 422
2705000 422
2710000 422
2715000 422
2720000 422
2725000 422
2730000 422
2735000 421
2740000 422
2745000 422
2750000 422
2755000 422
2760000 422
2765000 422
2770000 422
2775000 422
2780000 422
2785000 422
2790000 422
2795000 422
2800000 422
2805000 422
2810000 422
2815000 422
2820000 421
2825000 423
2830000 422
2835000 422
2840000 421
2845000 421
2850000 421
2855000 421
2860000 421
2865000 421
2870000 421
2875000 421
2880000 421
2885000 421
2890000 421
2895000 420
2900000 420
2905000 420
2910000 420
2915000 420
2920000 420
2925000 421
2930000 421
2935000 421
2940000 421
2945000 421
2950000 421
2955000 421
2960000 421
2965000 421
2970000 421
2975000 422
2980000 422
2985000 422
2990000 422
2995000 422
3000000 422
3005000 422
3010000 422
3015000 422
3020000 422
3025000 422
3030000 421
3035000 422
3040000 422
3045000 422
3050000 421
3055000 421
3060000 422
3065000 423
3070000 423
3075000 423
3080000 423
3085000 423
3090000 422
3095000 422
3100000 422
3105000 422
3110000 422
3115000 422
3120000 423
3125000 423
3130000 423
3135000 423
3140000 423
3145000 423
3150000 423
3155000 422
3160000 422
3165000 422
3170000 421
3175000 421
3180000 421
3185000 422
3190000 422
3195000 422
3200000 422
3205000 422
3210000 422
3215000 422
3220000 422
3225000 422
3230000 422
3235000 422
3240000 422
3245000 422
3250000 422
3255000 421
3260000 422
3265000 422
3270000 422
3275000 422
3280000 422
3285000 422
3290000 421
3295000 421
3300000 420
3305000 421
3310000 421
3315000 421
3320000 421
3325000 421
3330000 421
3335000 421
3340000 421
3345000 420
3350000 420
3355000 420
3360000 420
3365000 420
3370000 420
3375000 421
3380000 421
3385000 421
3390000 422
3395000 422
3400000 422
3405000 422
3410000 422
3415000 422
3420000 422
3425000 422
3430000 422
3435000 422
3440000 422
3445000 422
3450000 422
3455000 422
3460000 422
3465000 422
3470000 422
3475000 422
3480000 422
3485000 421
3490000 422
3495000 422
3500000 422
3505000 422
3510000 422
3515000 422
3520000 422
3525000 422
3530000 422
3535000 422
3540000 421
3545000 422
3550000 421
3555000 421
3560000 421
3565000 421
3570000 421
3575000 421
3580000 421
3585000 421
3590000 421
3595000 421
3600000 420
3605000 420
3610000 420
3615000 420
3620000 420
3625000 420
3630000 420
3635000 420
3640000 420
3645000 420
3650000 420
3655000 420
3660000 420
3665000 421
3670000 420
3675000 420
3680000 420
3685000 420
3690000 420
3695000 420
3700000 421
3705000 422
3710000 422
3715000 422
3720000 422
3725000 422
3730000 422
3735000 422
3740000 422
3745000 422
3750000 422
3755000 422
3760000 422
3765000 422
3770000 422
3775000 422
3780000 422
3785000 422
3790000 422
3795000 422
3800000 421
3805000 421
3810000 421
3815000 421
3820000 420
3825000 421
3830000 422
3835000 422
3840000 422
3845000 422
3850000 422
3855000 422
3860000 422
3865000 422
3870000 422
3875000 422
3880000 422
3885000 421
3890000 422
3895000 421
3900000 422
3905000 422
3910000 422
3915000 422
3920000 422
3925000 422
3930000 422
3935000 422
3940000 422
3945000 422
3950000 422
3955000 422
3960000 422
3965000 421
3970000 422
3975000 422
3980000 422
3985000 422
3990000 422
3995000 422
4000000 421
4005000 422
4010000 422
4015000 423
4020000 423
4025000 423
4030000 423
4035000 423
4040000 422
4045000 422
4050000 422
