timestep Temp E_pair E_mol TotEng Press
10000 137.42404 -11337.801 1178.1786 -7906.63 -0.76304045
15000 300.13617 -9360.027 2321.3986 -2118.0593 -2.2486015
20000 305.16491 -10280.518 2373.6918 -2903.8134 0.61762672
25000 299.59125 -11113.35 2345.8488 -3855.8662 -2.4856303
30000 300.89223 -12127.941 2340.5867 -4854.3905 -1.0238952
35000 301.09185 -12999.689 2292.254 -5771.1977 -5.6376178
40000 296.60092 -13624.873 2407.8134 -6354.4493 -0.52815776
45000 304.39632 -14262.724 2286.8252 -6985.4864 -1.7723691
50000 298.33959 -14911.74 2358.8815 -7661.7436 3.7322021
55000 302.10043 -15257.209 2356.6655 -7947.7713 -0.48465388
60000 302.17897 -15494.545 2242.7557 -8297.7295 -2.0690052
65000 301.64867 -15906.845 2251.3826 -8710.0971 -1.0376866
70000 297.64472 -16012.935 2316.367 -8816.8449 1.1348189
75000 306.02649 -15997.654 2236.716 -8743.8008 -1.9759725
80000 300.88864 -16203.508 2260.6659 -9009.9366 -0.250825
85000 303.29406 -16336.444 2182.1946 -9181.9082 2.4760183
90000 301.7877 -16353.757 2307.7256 -9098.3863 3.2392784
95000 300.78734 -16449.153 2259.389 -9258.5194 0.55050468
100000 297.54748 -16443.229 2207.1179 -9357.9823 -0.63464588
105000 299.26218 -16538.607 2301.4152 -9330.9517 0.26656341
110000 305.99014 -16535.071 2355.5665 -9162.9623 -0.92715698
115000 299.79267 -16519.14 2175.127 -9429.0749 0.064739246
120000 300.19551 -16407.743 2212.8151 -9273.3856 -2.3411748
125000 302.42517 -16541.263 2196.4299 -9386.7372 -4.1773242
130000 299.95671 -16560.285 2248.396 -9394.2623 -1.9395777
135000 306.56498 -16567.484 2245.4634 -9296.0545 -2.428941
140000 300.12375 -16647.847 2305.7137 -9421.7676 -4.4438955
145000 299.93342 -16668.068 2290.4247 -9460.3983 -3.617289
150000 303.82923 -16664.955 2287.5838 -9396.2561 -1.9946349
155000 300.40926 -16662.289 2306.5731 -9430.6698 0.86247254
160000 299.04131 -16663.83 2278.9769 -9482.234 1.5336797
165000 301.33624 -16650.126 2201.5752 -9508.3068 -1.350656
170000 300.56805 -16696.617 2303.4918 -9465.476 4.1356882
175000 301.48128 -16608.265 2297.4202 -9368.2238 0.11281405
180000 301.78513 -16682.405 2336.915 -9397.8876 3.7058895
185000 296.48799 -16629.756 2302.9775 -9466.0192 -3.2648484
190000 306.53319 -16738.449 2265.7656 -9447.239 1.2562605
195000 297.73208 -16695.043 2366.7709 -9447.1164 2.0979199
200000 297.7417 -16698.821 2253.5786 -9563.93 -2.1217892
205000 299.68394 -16603.332 2248.2905 -9441.887 1.8167449
210000 294.46129 -16739.615 2277.2415 -9634.841 7.6553622
215000 296.02729 -16622.69 2312.7088 -9456.7751 3.2196223
220000 295.67862 -16759.014 2272.8884 -9638.6353 2.6598537
225000 301.07374 -16787.434 2313.2259 -9538.2685 1.2218804
230000 298.03534 -16654.945 2296.7251 -9472.0926 3.4043397
235000 300.21429 -16675.262 2234.5305 -9518.8823 -0.054529241
240000 300.78439 -16667.842 2218.0208 -9518.6252 -0.90945841
245000 299.21063 -16830.647 2219.3365 -9705.9154 -3.0692302
250000 298.38022 -16756.191 2285.74 -9578.6702 -0.61885683
255000 300.48917 -16705.824 2263.4621 -9516.0053 1.3901631
260000 307.17168 -16796.44 2302.6345 -9457.8932 2.96538
265000 305.91003 -16801.548 2207.388 -9578.9314 5.0772111
270000 306.32982 -16677.566 2262.3268 -9393.1287 -0.46165542
275000 300.62932 -16829.964 2279.5051 -9621.8047 2.689854
280000 299.67912 -16742.921 2251.0377 -9578.8071 -1.1768355
285000 296.84261 -16762.054 2266.7956 -9628.6855 -1.0201311
290000 302.60089 -16781.558 2342.3655 -9478.2154 1.5474485
295000 301.67502 -16694.538 2211.3 -9537.4408 2.2906048
300000 298.69448 -16757.991 2283.1883 -9577.8696 -6.4892923
305000 301.56296 -16736.029 2237.9643 -9554.1039 0.072799826
310000 297.54499 -16797.867 2273.4818 -9646.2975 1.1491917
315000 301.06857 -16765.108 2231.2672 -9597.986 -2.4585519
320000 294.61264 -16809.22 2237.3556 -9741.8504 -2.4316339
325000 305.8388 -16812.046 2264.4558 -9533.5302 -2.1437128
330000 298.81965 -16855.801 2265.91 -9690.9052 -2.5695788
335000 304.38529 -16730.363 2309.8441 -9430.2884 1.9395963
340000 298.38264 -16642.298 2235.5321 -9514.9448 7.9632396
345000 302.4836 -16732.597 2243.7785 -9529.7649 -0.9303217
350000 303.09034 -16744.71 2258.1284 -9517.5801 -1.8267449
355000 298.91819 -16810.328 2315.6597 -9594.0676 0.084019942
360000 301.33874 -16719.157 2247.8202 -9531.0524 0.088792325
365000 305.54568 -16769.094 2299.1603 -9460.6786 -1.3863821
370000 299.7284 -16793.929 2324.1596 -9555.8851 -3.6105486
375000 292.71941 -16833.445 2293.5999 -9740.8695 1.5295753
380000 301.32098 -16783.373 2215.0985 -9628.2813 -1.6656023
385000 302.33318 -16893.794 2250.1282 -9687.0784 3.5891158
390000 293.94859 -16797.101 2205.6648 -9772.3094 1.0438198
395000 293.6544 -16814.105 2328.1398 -9671.6612 1.8121132
400000 297.20038 -16817.101 2202.1386 -9742.5244 -2.9487366
405000 300.45969 -16801.104 2280.1088 -9595.1223 1.2365776
410000 301.1965 -16759.944 2304.1922 -9517.7989 -0.75044778
415000 301.44942 -16750.695 2254.5793 -9554.0165 0.87548056
420000 300.78487 -16755.947 2252.0863 -9572.6568 -0.71896209
425000 293.92448 -16879.346 2236.7189 -9823.8953 0.9599025
430000 299.51043 -16757.164 2278.9718 -9567.8822 2.0450381
435000 300.27629 -16890.945 2278.131 -9689.9482 -0.96649118
440000 304.68711 -16817.123 2293.2019 -9528.7419 0.63008904
445000 303.87442 -16819.757 2290.8649 -9547.0364 2.7224026
450000 299.67161 -16742.586 2218.3039 -9611.3297 0.93679347
455000 304.5351 -16825.561 2228.7889 -9604.085 -2.3784139
460000 300.951 -16870.369 2247.5862 -9688.8549 2.2583718
465000 306.58027 -16785.409 2255.7042 -9503.4886 0.13630001
470000 309.79754 -16796.704 2249.7598 -9467.9821 3.7306278
475000 301.39417 -16774.631 2244.8951 -9588.5431 0.15939922
480000 297.26774 -16821.617 2217.5838 -9730.4905 1.006991
485000 303.07171 -16789.562 2304.4632 -9516.4037 -3.4069847
490000 303.08937 -16764.379 2310.5173 -9484.8762 -1.9532461
495000 301.67969 -16816.492 2213.0913 -9657.526 0.64644096
500000 303.56038 -16834.32 2254.2337 -9603.3787 0.44188856
505000 300.05217 -16792.235 2270.2853 -9602.7581 -2.3151827
510000 299.21363 -16987.171 2222.6407 -9859.0854 4.7145673
515000 306.72859 -16873.259 2221.3106 -9623.2998 -2.2806616
520000 303.63822 -16831.354 2214.8348 -9638.5363 -1.1600375
525000 295.94664 -16907.508 2263.3628 -9792.2612 0.36661394
530000 301.80368 -16828.128 2259.887 -9620.3339 -4.4019851
535000 300.38135 -16808.962 2304.0356 -9580.3376 -0.36508471
540000 299.40328 -16798.389 2270.8997 -9618.9359 1.9806957
545000 299.31384 -16776.047 2318.1556 -9550.8038 -0.92433485
550000 299.23034 -16802.772 2251.9938 -9645.06 1.608096
555000 305.83831 -16877.208 2265.052 -9598.1037 0.75099277
560000 299.41233 -16867.651 2279.5698 -9679.3789 -2.2917647
565000 304.76634 -16855.362 2248.654 -9610.2301 -3.806307
570000 299.85552 -16809.966 2208.9109 -9685.0876 -1.3713447
575000 301.36363 -16788.419 2275.3671 -9572.359 -1.9563531
580000 299.26249 -16669.956 2282.4561 -9481.2547 -4.6656541
585000 293.6923 -16994.005 2278.7908 -9900.2888 0.94075395
590000 299.85611 -16869.247 2235.8021 -9717.4672 3.3153974
595000 297.75093 -16938.767 2307.6563 -9749.6467 -0.68839388
600000 298.45401 -16852.947 2295.6983 -9664.2579 7.9088756
605000 301.0135 -16868.408 2306.4573 -9626.998 5.7807306
610000 302.47744 -16781.383 2338.3912 -9484.0386 -2.6229211
615000 305.2698 -16820.58 2198.1164 -9617.7311 0.37737896
620000 304.36243 -16710.888 2296.5716 -9424.4601 -2.7697971
625000 297.65225 -16787.59 2249.8541 -9657.8897 2.3920657
630000 290.99719 -16822.316 2207.8232 -9843.7522 -0.99766729
635000 300.61938 -16930.619 2307.3106 -9694.817 -1.0483954
640000 301.27565 -16882.04 2282.7284 -9660.0616 0.46784231
645000 294.27326 -16864.746 2282.4275 -9757.8688 -3.0648624
650000 298.37199 -16864.262 2246.6895 -9725.9258 -0.16551589
655000 303.35964 -16953.994 2267.7818 -9712.7957 0.91813307
660000 300.7073 -16943.22 2217.0527 -9796.2351 0.68761427
665000 297.36964 -16788.353 2176.5375 -9736.6026 1.042321
670000 299.96603 -16840.103 2227.2391 -9695.0841 1.4214239
675000 297.79803 -16916.967 2237.0939 -9797.6368 5.6510061
680000 299.34639 -16900.711 2252.5623 -9740.5272 1.9790428
685000 299.97316 -16760.133 2260.4594 -9581.7774 -0.650534
690000 303.12488 -16890.234 2288.8103 -9631.8565 7.4134437
695000 306.71768 -16824.152 2253.307 -9542.3755 3.2554576
700000 305.44844 -16967.213 2310.522 -9649.03 3.7735877
705000 304.20592 -17011.192 2196.4612 -9827.4402 -1.7741001
710000 299.68093 -16923.21 2184.9499 -9825.1548 -7.1528645
715000 302.03183 -16780.848 2289.2069 -9539.9942 1.8520844
720000 301.24365 -16919.839 2249.8581 -9731.2549 -2.5410784
725000 301.23764 -16769.465 2260.1897 -9570.6487 5.0270141
730000 300.10484 -16868.577 2310.3993 -9638.1227 1.0736522
735000 302.10665 -16886.605 2241.3648 -9692.3659 4.4676515
740000 302.18398 -16935.006 2273.9659 -9706.8981 2.2459265
745000 302.51316 -16923.734 2251.2738 -9712.9218 3.7914694
750000 295.38392 -16927.134 2320.3719 -9764.1039 0.99491221
755000 304.39318 -16823.311 2240.5378 -9592.4126 -5.369805
