timestep c_coords2
10000 36
15000 55
20000 76
25000 93
30000 107
35000 118
40000 132
45000 145
50000 158
55000 160
60000 172
65000 187
70000 195
75000 202
80000 205
85000 217
90000 221
95000 236
100000 242
105000 255
110000 262
115000 273
120000 281
125000 293
130000 303
135000 316
140000 324
145000 331
150000 336
155000 343
160000 341
165000 345
170000 345
175000 349
180000 355
185000 356
190000 360
195000 360
200000 359
205000 369
210000 361
215000 366
220000 366
225000 367
230000 368
235000 363
240000 369
245000 372
250000 366
255000 369
260000 367
265000 366
270000 370
275000 375
280000 369
285000 366
290000 367
295000 370
300000 373
305000 372
310000 369
315000 374
320000 369
325000 367
330000 370
335000 373
340000 368
345000 373
350000 371
355000 375
360000 374
365000 375
370000 375
375000 376
380000 376
385000 370
390000 371
395000 373
400000 374
405000 376
410000 374
415000 371
420000 374
425000 377
430000 381
435000 376
440000 369
445000 372
450000 374
455000 369
460000 376
465000 371
470000 372
475000 367
480000 369
485000 368
490000 368
495000 371
500000 377
505000 371
510000 371
515000 368
520000 369
525000 378
530000 374
535000 373
540000 372
545000 371
550000 375
555000 371
560000 371
565000 378
570000 374
575000 373
580000 372
585000 369
590000 367
595000 372
600000 374
605000 367
610000 367
615000 370
620000 365
625000 370
630000 367
635000 367
640000 362
645000 372
650000 366
655000 365
660000 376
665000 378
670000 369
675000 371
680000 380
685000 373
690000 368
695000 366
700000 369
705000 366
710000 367
715000 370
720000 370
725000 369
730000 369
735000 366
740000 366
745000 370
750000 369
755000 375
760000 370
765000 376
770000 371
775000 370
780000 371
785000 370
790000 373
795000 373
800000 374
805000 368
810000 376
815000 369
820000 379
825000 379
830000 379
835000 376
840000 378
845000 378
850000 375
855000 370
860000 375
865000 369
870000 373
875000 372
880000 373
885000 372
890000 375
895000 373
900000 376
905000 377
910000 379
915000 381
920000 377
925000 377
930000 373
935000 370
940000 375
945000 373
950000 380
955000 369
960000 378
965000 376
970000 370
975000 372
980000 369
985000 375
990000 371
995000 367
1000000 369
1005000 377
1010000 370
1015000 368
1020000 372
1025000 372
1030000 377
1035000 376
1040000 367
1045000 374
1050000 378
1055000 378
1060000 380
1065000 376
1070000 373
1075000 367
1080000 372
1085000 368
1090000 371
1095000 371
1100000 378
1105000 378
1110000 373
1115000 375
1120000 374
1125000 377
1130000 373
1135000 370
1140000 372
1145000 371
1150000 373
1155000 370
1160000 374
1165000 374
1170000 372
1175000 370
1180000 373
1185000 372
1190000 378
1195000 372
1200000 373
1205000 375
1210000 372
1215000 371
1220000 379
1225000 379
1230000 380
1235000 371
1240000 376
1245000 372
1250000 381
1255000 381
1260000 375
1265000 369
1270000 374
1275000 381
1280000 384
1285000 380
1290000 381
1295000 377
1300000 374
1305000 381
1310000 372
1315000 368
1320000 377
1325000 376
1330000 375
1335000 368
1340000 368
1345000 370
1350000 376
1355000 373
1360000 371
1365000 371
1370000 371
1375000 368
1380000 368
1385000 375
1390000 371
1395000 370
1400000 376
1405000 371
1410000 375
1415000 379
1420000 382
1425000 372
1430000 369
1435000 377
1440000 377
1445000 375
1450000 371
1455000 374
1460000 376
1465000 384
1470000 373
1475000 381
1480000 383
1485000 374
1490000 379
1495000 376
1500000 380
1505000 375
1510000 381
1515000 377
1520000 374
1525000 374
1530000 377
1535000 380
1540000 383
1545000 384
1550000 377
1555000 374
1560000 378
1565000 379
1570000 373
1575000 373
1580000 368
1585000 373
1590000 370
1595000 366
1600000 373
1605000 380
1610000 374
1615000 373
1620000 380
1625000 373
1630000 372
1635000 372
1640000 380
1645000 373
1650000 372
1655000 376
1660000 374
1665000 378
1670000 371
1675000 371
1680000 369
1685000 373
1690000 369
1695000 374
1700000 379
1705000 374
1710000 379
1715000 373
1720000 372
1725000 376
1730000 371
1735000 367
1740000 374
1745000 374
1750000 373
1755000 369
1760000 376
1765000 381
1770000 372
1775000 371
1780000 369
1785000 373
1790000 368
1795000 379
1800000 372
1805000 372
1810000 383
1815000 370
1820000 373
1825000 376
1830000 381
1835000 382
1840000 375
1845000 377
1850000 376
1855000 377
1860000 379
1865000 376
1870000 374
1875000 378
1880000 381
1885000 369
1890000 375
1895000 374
1900000 379
1905000 372
1910000 377
1915000 379
1920000 376
1925000 376
1930000 378
1935000 372
1940000 376
1945000 373
1950000 377
1955000 370
1960000 374
1965000 379
1970000 378
1975000 375
1980000 375
1985000 371
1990000 376
1995000 373
2000000 381
2005000 379
2010000 381
2015000 375
2020000 373
2025000 372
2030000 378
2035000 377
2040000 374
2045000 371
2050000 376
2055000 377
2060000 380
2065000 376
2070000 380
2075000 379
2080000 376
2085000 381
2090000 377
2095000 381
2100000 379
2105000 377
2110000 380
2115000 378
2120000 380
2125000 373
2130000 379
2135000 381
2140000 377
2145000 380
2150000 376
2155000 380
2160000 380
2165000 379
2170000 382
2175000 371
2180000 373
2185000 377
2190000 377
2195000 374
2200000 383
2205000 374
2210000 384
2215000 388
2220000 378
2225000 379
2230000 379
2235000 379
2240000 378
2245000 376
2250000 376
2255000 379
2260000 377
2265000 366
2270000 371
2275000 366
2280000 365
2285000 372
2290000 379
2295000 378
2300000 377
2305000 379
2310000 378
2315000 379
2320000 375
2325000 373
2330000 374
2335000 377
2340000 383
2345000 378
2350000 370
2355000 369
2360000 377
2365000 373
2370000 371
2375000 376
2380000 379
2385000 376
2390000 374
2395000 373
2400000 375
2405000 372
2410000 375
2415000 377
2420000 379
2425000 373
2430000 381
2435000 385
2440000 380
2445000 381
2450000 374
2455000 368
2460000 373
2465000 371
2470000 373
2475000 380
2480000 380
2485000 380
2490000 377
