timestep Temp E_pair E_mol TotEng Press
10000 138.76889 -7382.1098 688.86525 -5452.3135 -6.9719272
15000 300.56507 -6305.1563 1304.7496 -2312.6244 6.575993
20000 304.20972 -6824.0802 1364.7709 -2738.9351 5.0441849
25000 296.8554 -7028.551 1315.59 -3058.3523 -14.014538
30000 295.21198 -7324.2496 1306.218 -3378.1191 5.9526527
35000 293.55511 -7420.8735 1290.1122 -3505.6652 -2.7754213
40000 304.30531 -7693.2528 1325.2913 -3646.7326 1.7502653
45000 310.14897 -8009.3713 1316.6181 -3919.2677 10.314596
50000 290.6066 -8211.4796 1293.1722 -4319.5782 -7.6908312
55000 298.53369 -8398.3253 1308.0512 -4420.6575 10.12883
60000 298.84496 -8532.5086 1268.6468 -4591.4616 -5.3630742
65000 296.76798 -8578.0865 1283.5801 -4640.6795 -11.315294
70000 297.65938 -8604.3414 1267.8846 -4674.6585 -2.6847184
75000 301.5326 -8662.8549 1285.3499 -4681.0708 -11.146224
80000 296.47778 -8903.7388 1282.5384 -4969.9685 5.8007295
85000 299.24175 -8899.7516 1257.1409 -4966.6622 -3.2611551
90000 297.90217 -9041.3135 1273.8759 -5103.4683 10.00563
95000 301.25289 -9002.0057 1236.6824 -5071.3904 -6.4058408
100000 310.24204 -9112.0637 1266.9652 -5070.7808 -11.362465
105000 308.67213 -9119.2842 1324.879 -5034.1262 -22.563623
110000 306.45276 -9203.7756 1257.7778 -5205.5654 -19.622685
115000 305.04753 -9360.9771 1292.6008 -5340.5102 -17.024232
120000 297.06929 -9251.0616 1222.927 -5371.6132 -1.7922475
125000 302.81626 -9398.2276 1252.0838 -5438.2305 -4.2184604
130000 297.50768 -9414.4373 1281.2403 -5472.7554 -13.362691
135000 302.11706 -9496.946 1258.3214 -5536.9639 8.0980749
140000 301.18397 -9456.5041 1283.4423 -5479.7451 1.149704
145000 300.16924 -9433.5293 1301.7575 -5447.5293 -18.000651
150000 306.48525 -9401.7929 1192.6251 -5468.4448 -5.345695
155000 302.31536 -9564.3408 1289.9556 -5570.9512 -4.9604123
160000 302.2727 -9569.7638 1269.0846 -5597.6267 -5.4884013
165000 292.23106 -9570.1754 1282.3535 -5674.566 -20.995148
170000 297.68313 -9707.7642 1320.6133 -5725.1403 1.2719335
175000 298.16283 -9717.0412 1309.0903 -5741.6505 -20.328755
180000 297.28795 -9686.6865 1318.7298 -5709.48 -11.520906
185000 295.73432 -9797.9506 1250.8743 -5902.4928 -10.130347
190000 301.7961 -9792.0975 1330.3989 -5762.9081 2.5227696
195000 296.02702 -9815.5242 1252.7449 -5915.5783 1.7083711
200000 307.68343 -9841.1561 1276.4708 -5813.2477 -13.972957
205000 295.26688 -9968.7399 1252.5109 -6075.8255 18.346683
210000 296.67471 -9917.6631 1251.3569 -6013.3134 2.6160308
215000 297.61839 -9999.2033 1282.994 -6054.7776 -15.266764
220000 299.7193 -10039.501 1303.8947 -6055.3873 -15.253748
225000 302.23069 -9926.3641 1277.2946 -5946.3927 -4.3214271
230000 293.04401 -10073.907 1288.2295 -6165.1522 -2.4250389
235000 297.2382 -10050.928 1244.0067 -6148.8891 19.293896
240000 290.152 -10140.756 1286.3298 -6259.7624 24.692004
245000 300.46995 -10178.516 1269.4581 -6222.1266 31.368624
250000 299.62046 -10103.588 1274.7408 -6149.512 -13.972383
255000 301.97867 -10069.762 1265.3154 -6104.0236 12.42366
260000 297.39919 -10116.274 1281.1419 -6175.6606 6.206788
265000 293.58247 -10120.588 1212.0498 -6283.1979 -0.94382559
270000 298.81788 -10137.75 1274.3369 -6191.2555 -19.19434
275000 307.21964 -10193.4 1302.8538 -6143.256 4.5788674
280000 294.46986 -10196.113 1247.1155 -6315.7208 17.487274
285000 299.4338 -10000.429 1234.4729 -6088.2903 -0.041768597
290000 303.14349 -10093.632 1251.2049 -6131.5877 -30.093883
295000 292.26885 -10170.032 1268.5786 -6287.8594 7.2922376
300000 298.61513 -10156.466 1324.915 -6161.2062 5.1938277
305000 305.57271 -10206.529 1279.7469 -6194.2198 24.385039
310000 298.81645 -10115.548 1258.4087 -6184.994 8.5987003
315000 304.06885 -10159.574 1267.8021 -6172.6572 16.974282
320000 306.03808 -10136.06 1250.1742 -6149.1618 11.968332
325000 303.95872 -10177.338 1265.8339 -6193.3749 28.27583
